id,tarifa
1,10.00
1443,8.00
1575,8.00
1768,10.00
2045,10.00
2153,10
2336,10.00
2388,9.50
2598,10.00
2919,8.00
3057,5.00
3195,4.50
3921,10.00
3587,8.00
4984,4.50
4763,6.50
5227,10.00
5235,10.00
5948,10.00
6928,8.00
7562,10.00
2088,10.00
7859,10.00
7922,10.00
8289,10.00
8296,4.50
8302,10.00
8539,10.00
8778,10.00
9115,10.00
9183,10.00
2,10.00
82,10.00
158,10.00
293,10.00
375,10.00
411,10.00
422,10.00
482,10.00
499,10.00
505,10.00
518,10.00
531,10.00
584,10.00
1145,10.00
1109,10.00
1329,10.00
1362,10.00
1393,10.00
1444,8.00
1449,8.00
1454,10.00
1487,10.00
1496,10.00
1506,8.00
1539,10.00
1576,8.00
1617,8.00
1749,8.00
1759,8.00
1910,10.00
1769,10.00
1791,10.00
1819,10.00
1823,10.00
1861,10.00
1866,10.00
2011,10.00
2027,10.00
2046,10.00
2117,10.00
2118,10.00
2119,10.00
2126,10.00
2144,10.00
2151,10.00
2154,10.00
2171,10.00
2172,10.00
2177,10.00
2273,10.00
2333,10.00
2334,10.00
2337,10.00
2338,10.00
2339,10.00
2340,10.00
2341,10.00
2342,10.00
2353,10.00
2361,10.00
2362,10.00
2363,10.00
2373,10.00
2374,10.00
2375,10.00
2395,9.50
2409,9.50
2428,9.50
2436,9.50
2443,9.50
2444,9.50
2469,9.50
2389,9.50
2485,9.50
2505,8.50
2531,9.50
2551,9.50
2577,9.50
2583,9.50
1837,9.50
2634,10.00
2652,9.50
2676,9.50
2686,8.50
2700,8.00
2712,6.50
2727,9.50
2780,9.50
2834,10.00
2874,10.00
2879,10.00
2920,10.00
2998,10.00
970,4.50
3007,6.50
3010,4.50
3029,6.50
3030,8.00
3037,6.50
3045,8.00
3049,10.00
3111,5.00
3112,8.00
3133,10.00
3058,10.00
3134,10
3154,8.00
3161,8.00
3165,8.00
3188,8.00
3108,4.50
3294,4.50
3196,8.00
3205,8.00
3218,4.50
3236,4.50
3248,8.00
3254,5.00
3341,4.50
3346,4.50
3405,5.00
3458,4.50
3477,8.00
3493,4.50
3502,4.50
3516,5.00
3521,4.50
3535,4.50
3561,5.00
3922,10.00
3956,10.00
3962,10.00
3973,10.00
3991,10.00
4097,10.00
4113,10.00
4240,10.00
4266,10.00
4272,10.00
4297,10.00
4371,10.00
4410,10.00
4421,10.00
4441,10.00
4448,10.00
4473,10.00
4500,10.00
4506,10.00
4515,10.00
4541,10.00
4558,10.00
4575,10.00
4580,10.00
4607,10.00
4614,10.00
4620,10.00
4637,10.00
4651,10.00
4664,10.00
4665,10.00
4679,10.00
4685,10.00
4703,10.00
4726,10.00
4739,10.00
4749,10.00
4755,10.00
3968,10.00
3895,4.50
3919,4.50
3588,8.00
3205,8.00
3874,5.00
3875,8.00
4985,8.00
4993,8.00
5002,4.50
970,4.50
5119,8.00
380,10.00
3010,4.50
5179,10.00
5184,8.00
5185,10.00
3535,4.50
5207,8.00
5216,5.00
5217,4.50
4764,6.50
666,6.50
4798,6.50
4806,6.50
4812,6.50
4817,6.50
4873,6.50
2890,6.50
5228,10.00
5229,10.00
5230,10.00
5231,10.00
5232,10.00
5233,10.00
5234,10.00
5236,10.00
5255,10.00
5292,10.00
5389,10.00
422,10.00
5816,10.00
5828,10.00
5882,10.00
5906,10.00
5949,10.00
6028,10.00
6101,10.00
6352,10.00
6370,10.00
6383,10.00
6481,10.00
6498,10.00
6714,10.00
6807,10.00
6837,10.00
6881,10.00
6929,8.00
6934,8.00
6966,8.00
7064,8.00
7133,8.00
7201,8.00
7331,8.00
5559,8.00
7438,8.00
7468,8.00
7512,8.00
7546,8.00
7611,10.00
7563,10.00
7566,10.00
2033,10.00
7575,10.00
7578,10.00
7581,10.00
7587,10.00
7590,10.00
7593,10.00
7596,10.00
7601,10.00
7603,10.00
7607,10.00
7616,10.00
7619,10.00
7820,10.00
5061,10.00
7722,10.00
7772,10.00
7624,10.00
5018,10.00
7821,10.00
5084,10.00
7828,10.00
7834,10.00
7840,10.00
7860,10.00
7865,10.00
7882,10.00
7894,10.00
7895,10.00
7896,10.00
4614,10.00
363,10.00
7911,10.00
3159,8.00
7923,10.00
7933,10.00
7934,10.00
7938,10.00
7959,10.00
7967,10.00
7971,10.00
2088,10.00
8032,10.00
8046,10.00
8066,10.00
4473,10.00
8159,10.00
8167,10.00
8168,10.00
8199,10.00
8219,10.00
8220,10.00
8235,10.00
8239,10.00
1984,10.00
8249,10.00
8254,10.00
8275,10.00
8290,10.00
8291,10.00
8292,10.00
8293,10.00
8294,10.00
8297,4.50
8298,4.50
8299,4.50
8300,4.50
